"","Date","Individual","Foreigner","Institution"
"577","17.03.07","-2,461","924","1,000"
"578","17.03.06","-487","2,562","-2,637"
"579","17.03.03","1,065","-324","-1,253"
"580","17.03.02","-1,071","6,802","-6,206"
"581","17.02.28","-1,164","645","-273"
"582","17.02.27","-326","-2,262","2,174"
"583","17.02.24","78","-52","-518"
"584","17.02.23","-274","352","-588"
"585","17.02.22","-936","4,535","-1,987"
"586","17.02.21","-3,185","1,243","1,539"
"587","17.02.20","1,032","538","-2,097"
"588","17.02.17","-4,841","2,894","1,485"
"589","17.02.16","426","1,649","-2,654"
"590","17.02.15","-1,751","-296","1,591"
"591","17.02.14","-1,367","-1,223","2,653"
"592","17.02.13","-2,787","54","2,307"
"593","17.02.10","-2,473","-1,074","3,136"
"594","17.02.09","221","624","-1,278"
"595","17.02.08","931","-2,425","1,044"
"596","17.02.07","-320","-1,586","1,437"
"597","17.02.06","-1,136","24","639"
"598","17.02.03","1,109","-1,087","-597"
"599","17.02.02","612","707","-1,785"
"600","17.02.01","-871","-123","551"
"601","17.01.31","1,323","-3,018","1,182"
"602","17.01.26","-2,148","3,640","-1,960"
"603","17.01.25","1,093","2,084","-3,757"
"604","17.01.24","-125","-132","92"
"605","17.01.23","-118","1,170","-1,093"
"606","17.01.20","67","-465","380"
"607","17.01.19","1,288","1,471","-2,829"
"608","17.01.18","-723","-194","874"
"609","17.01.17","-830","-81","903"
"610","17.01.16","400","-2,393","1,847"
"611","17.01.13","-585","-1,066","1,635"
"612","17.01.12","-321","342","-104"
"613","17.01.11","-4,300","4,838","-551"
"614","17.01.10","1,286","996","-2,498"
"615","17.01.09","1,934","2,510","-4,574"
"616","17.01.06","-288","1,686","-1,365"
"617","17.01.05","655","868","-1,648"
"618","17.01.04","1,272","2,147","-3,583"
"619","17.01.03","-112","1,717","-1,750"
"620","17.01.02","386","275","-847"
"621","16.12.29","1,562","1,284","-2,968"
"622","16.12.28","2,810","1,306","-4,148"
"623","16.12.27","-2,588","923","1,736"
"624","16.12.26","-878","-353","1,253"
"625","16.12.23","-1,255","-977","2,283"
"626","16.12.22","-297","-539","759"
"627","16.12.21","-82","775","-691"
"628","16.12.20","-335","601","-291"
"629","16.12.19","788","49","-795"
"630","16.12.16","254","678","-1,621"
"631","16.12.15","-676","-34","660"
"632","16.12.14","132","1,769","-1,890"
"633","16.12.13","-1,025","1,120","-147"
"634","16.12.12","-964","847","148"
"635","16.12.09","-1,177","559","584"
"636","16.12.08","-6,546","283","6,551"
"637","16.12.07","141","783","-908"
"638","16.12.06","-3,605","791","2,929"
"639","16.12.05","-1,144","-49","1,013"
"640","16.12.02","230","-20","-476"
"641","16.12.01","209","310","-527"
"642","16.11.30","446","2,714","-3,176"
"643","16.11.29","-83","4,494","-1,493"
"644","16.11.28","-196","2,066","-2,046"
"645","16.11.25","-363","185","-39"
"646","16.11.24","138","-1,426","1,043"
"647","16.11.23","-2,163","1,641","4,066"
"648","16.11.22","-1,403","3,397","517"
"649","16.11.21","-393","670","-490"
"650","16.11.18","2,350","610","-3,310"
"651","16.11.17","71","605","-907"
"652","16.11.16","-710","-98","657"
"653","16.11.15","718","-2,083","1,092"
"654","16.11.14","307","-3,371","2,781"
"655","16.11.11","897","-4,495","3,782"
"656","16.11.10","-3,101","482","2,295"
"657","16.11.09","-1,269","-2,132","3,095"
